Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1200,9,2010,72000,0,1,0,403,144,260,5.0,1.75
512,10,2015,41000,1,1,0,275,39,56,5.0,12.5
486,2,2011,46000,4,1,0,232,12,344,5.0,4.5
1059,2,2012,87000,1,1,0,308,14,346,7.0,6.0
23,3,2013,40670,1,0,2,135,58,76,5.0,17.74
530,5,2012,75000,3,1,0,316,139,252,5.0,2.35
1378,6,2013,86999,1,1,0,359,29,268,5.0,3.5
1778,9,2016,36000,1,0,0,23,102,121,8.0,17.5
1847,10,2013,64430,1,1,0,299,46,13,5.0,5.2
1582,2,2012,65932,1,1,2,343,14,299,5.0,1.95
1038,7,2018,25692,4,1,0,330,30,9,5.0,9.95
422,8,2012,60000,4,0,0,180,36,37,5.0,4.49
1160,6,2015,64424,1,1,0,388,14,299,5.0,5.6
813,4,2014,72000,1,0,0,55,74,146,5.0,27.0
810,10,2012,85000,1,0,2,0,74,36,5.0,17.5
1369,4,2014,110000,1,1,0,81,86,126,7.0,15.0
367,7,2016,58950,1,1,0,395,37,365,5.0,5.4
1124,6,2017,25000,1,1,0,413,14,299,5.0,5.99
1445,7,2014,77469,1,1,0,295,29,327,5.0,6.34
1319,1,2014,78500,1,0,0,123,70,113,5.0,28.0
74,7,2014,32982,1,0,0,348,64,150,5.0,18.55
1099,1,2015,55392,1,1,2,368,14,342,5.0,8.25
33,9,2015,55985,4,0,0,82,61,129,5.0,23.5
714,8,2010,45807,4,1,0,241,10,312,5.0,1.87
1856,8,2010,33000,4,0,0,103,46,13,5.0,2.85
426,9,2012,51920,4,1,0,180,36,37,5.0,4.25
1378,5,2012,54000,1,1,0,359,29,268,5.0,4.25
960,5,2013,54000,4,1,2,312,144,282,5.0,2.75
499,7,2018,37430,4,1,0,208,12,344,5.0,9.9
1759,9,2007,262000,1,1,1,56,89,3,7.0,4.0
1437,1,2013,62000,1,1,0,255,29,22,5.0,7.75
1692,4,2012,87615,4,1,0,109,52,72,5.0,6.75
901,1,2013,72000,1,0,2,18,98,142,7.0,12.5
25,8,2010,35000,1,0,0,47,99,135,5.0,11.5
1844,3,2014,55431,4,1,2,160,46,11,5.0,6.98
1199,6,2009,83816,4,1,2,91,1,270,5.0,1.85
1183,7,2018,50075,1,1,0,376,14,342,5.0,8.63
849,4,2017,52000,4,1,0,228,11,318,5.0,4.85
1300,10,2013,85000,1,0,0,33,113,191,5.0,28.0
1825,2,2013,62000,1,1,0,340,12,296,5.0,5.0
970,4,2008,90000,4,1,2,278,137,239,5.0,1.25
1619,7,2014,19698,4,1,0,390,134,227,4.0,1.53
847,3,2017,22033,1,1,0,389,11,308,6.0,5.58
762,7,2014,35487,4,1,0,241,10,322,5.0,4.74
536,1,2014,46374,4,0,0,113,67,89,5.0,8.85
1693,9,2016,52001,4,0,0,99,52,70,5.0,10.11
537,0,2008,58005,1,1,2,124,63,31,5.0,4.25
1776,1,2012,70704,4,1,0,20,97,109,7.0,10.95
668,6,2014,75000,1,1,0,377,3,290,5.0,3.85
908,6,2012,75800,1,1,2,174,93,16,6.0,5.5
8,7,2015,13648,1,0,0,194,58,123,5.0,21.43
1147,4,2014,52000,1,1,0,354,14,299,5.0,4.25
1156,8,2014,53000,1,1,0,217,14,303,5.0,3.3
1159,4,2013,65650,1,1,0,413,14,299,5.0,3.85
577,2,2015,54000,4,1,3,253,10,318,5.0,3.6
1845,8,2015,39000,4,1,0,128,46,8,5.0,3.99
1459,7,2017,16542,4,1,0,387,138,248,5.0,3.3
687,8,2010,32000,4,1,0,291,10,310,5.0,2.07
1413,5,2010,121812,1,0,0,75,64,84,5.0,7.75
1226,5,2010,39300,4,1,0,232,144,282,5.0,2.25
1772,9,2017,22000,1,1,0,85,83,85,8.0,16.5
329,1,2010,72000,1,1,0,287,26,283,5.0,2.75
1314,4,2015,58000,4,0,0,33,50,144,5.0,26.7
1302,10,2011,65000,1,1,2,150,72,119,5.0,10.0
1577,2,2016,178000,1,1,0,384,25,286,5.0,2.5
11,6,2012,65664,1,0,0,174,58,75,5.0,13.5
431,9,2007,63000,4,0,2,168,36,309,5.0,1.85
1241,3,2019,15369,1,0,0,0,56,154,5.0,35.67
1057,10,2016,63000,1,1,0,379,14,342,7.0,8.15
509,9,2018,13000,1,1,0,342,25,344,5.0,10.5
1417,9,2008,73000,4,0,0,428,128,244,5.0,14.5
925,9,2015,55729,1,1,0,131,74,75,7.0,9.65
707,7,2012,45178,4,0,0,184,10,310,5.0,3.48
1410,7,2015,56066,1,1,0,274,29,25,5.0,6.92
396,3,2016,37300,4,0,2,171,11,338,5.0,6.46
24,4,2014,56000,1,0,2,243,58,147,5.0,29.5
284,6,2008,111111,1,1,0,217,26,371,5.0,2.0
1742,2,2006,230000,4,1,3,47,66,64,8.0,4.5
